patient_id,original_shape_LeastAxisLength,original_firstorder_10Percentile,original_firstorder_Minimum,original_gldm_DependenceVariance,wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,wavelet-LLH_gldm_DependenceVariance,wavelet-LHL_glszm_GrayLevelNonUniformity,wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,wavelet-LHH_ngtdm_Busyness,wavelet-HLL_firstorder_Skewness,wavelet-HLH_firstorder_Median,wavelet-HLH_firstorder_Skewness,wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis
LUNG1-001,114.50414256821637,-38.043780611958525,-85.25270474603579,52.73990599187049,0.3409235537190083,24.58912643176456,1707.4635650224216,0.2392746027217518,14753930129.958334,401946.5011135644,-0.6544814346368274,-0.001622796294451,0.1410037736940315,901014323.5062488,1.900158889447509
LUNG1-002,104.43983498702008,-17.60224686640279,-74.65631453897302,58.63851735676205,0.327174515235457,25.656229851684813,691.7672015827654,0.152070169615908,8030956927.557377,10088.501624459534,-0.7681747749069123,-0.0050877679486125,0.1749053122478756,137127330.3425773,0.6854541630857096
LUNG1-003,123.29226745708868,-69.96288776769381,-87.96236791097222,57.37397138361678,0.2557081452568815,24.88969335939361,198.8265306122449,0.1449172963646099,6911421138.047619,85428.31163342277,-0.1278367969200853,0.0008337247661142,0.0502968604778511,183762681.2511504,29.63250680873166
LUNG1-004,128.73990094070308,-14.73288215586836,-77.03173153773268,54.284671168220655,0.2576476522690742,25.37208851766448,728.0172814031467,0.1877785095184799,13080634231.603449,191153.9529364569,-0.4681365752534034,0.0005105237145355,0.0813189708929696,1590017766.5031953,3.816316380746566
LUNG1-005,114.77133488804468,-33.439163491039146,-95.88685966199655,58.76435979364152,0.2541917638515101,29.060364322986363,354.8728923476005,0.1534253749881541,6689304488.416667,6446.407263891055,-0.1445461452307218,-0.0012651457366591,-0.0417086536179465,95048076.52660592,0.7319612988350604
LUNG1-006,107.12994874669556,-38.40307645303146,-97.3009795290222,57.36292164164597,0.2888222111646944,27.840134634147223,313.810663764962,0.1707348551495984,2609694750.1860466,75424.3585768219,-0.1009679632045525,-0.0037828152110417,0.0910989868940778,166780743.52464312,0.6632298719612925
LUNG1-007,97.16316319237704,-37.19279218760742,-75.44627589466212,52.44973409124307,0.2573944080904223,26.156112194595423,124.4354609929078,0.1765041999899401,2083702319.558824,55576.19809255163,-0.3561777175066774,0.0004505390920892,0.2284363337728359,426049270.6227264,3.9407996694136
LUNG1-008,102.35108800797316,-3.5943629158755,-92.50166576736974,56.31410052339911,0.2581067325868838,25.49958225225484,243.2446735395189,0.1671784697866109,1456079779.475,56998.31439601197,-0.3786843986007384,-0.002895994430243,0.0230609143438313,188780812.0797352,0.8854878900929257
LUNG1-009,113.38990158120644,14.705053322319964,-95.06485845046168,49.57823857903552,0.2554059895838206,26.153564736566903,495.4205378973105,0.2018828597788551,13859057751.472729,189529.4458731234,-0.7943481237268549,-0.0006358718714149,0.1461728962591055,1620009027.9417574,0.8370448010970236
LUNG1-010,95.43801177409306,-13.863940651495088,-83.23094809788104,54.68977328021381,0.2783977515617435,26.73113055335032,226.05529646902065,0.1506031288934181,1190023063.282051,47165.63882735648,-0.8500717640526927,-0.0005857967003142,0.117757101805533,96765992.03738949,0.8022158480290335
