patient_id,radio_dim_0,radio_dim_1,radio_dim_2,radio_dim_3,radio_dim_4,radio_dim_5,radio_dim_6,radio_dim_7,radio_dim_8,radio_dim_9,radio_dim_10,radio_dim_11,radio_dim_12,radio_dim_13,radio_dim_14,radio_dim_15,radio_dim_16,radio_dim_17,radio_dim_18,radio_dim_19,radio_dim_20,radio_dim_21,radio_dim_22,radio_dim_23,radio_dim_24,radio_dim_25,radio_dim_26,radio_dim_27,radio_dim_28,radio_dim_29,radio_dim_30,radio_dim_31,radio_dim_32,radio_dim_33,radio_dim_34,radio_dim_35,radio_dim_36,radio_dim_37,radio_dim_38,radio_dim_39,radio_dim_40,radio_dim_41,radio_dim_42,radio_dim_43,radio_dim_44,radio_dim_45,radio_dim_46,radio_dim_47,radio_dim_48,radio_dim_49,radio_dim_50,radio_dim_51,radio_dim_52,radio_dim_53,radio_dim_54,radio_dim_55,radio_dim_56,radio_dim_57,radio_dim_58,radio_dim_59,radio_dim_60,radio_dim_61,radio_dim_62,radio_dim_63,radio_dim_64,radio_dim_65,radio_dim_66,radio_dim_67,radio_dim_68,radio_dim_69,radio_dim_70,radio_dim_71,radio_dim_72,radio_dim_73,radio_dim_74,radio_dim_75,radio_dim_76,radio_dim_77,radio_dim_78,radio_dim_79,radio_dim_80,radio_dim_81,radio_dim_82,radio_dim_83,radio_dim_84,radio_dim_85,radio_dim_86,radio_dim_87,radio_dim_88,radio_dim_89,radio_dim_90,radio_dim_91,radio_dim_92,radio_dim_93,radio_dim_94,radio_dim_95,radio_dim_96,radio_dim_97,radio_dim_98,radio_dim_99,radio_dim_100,radio_dim_101,radio_dim_102,radio_dim_103,radio_dim_104,radio_dim_105,radio_dim_106,radio_dim_107,radio_dim_108,radio_dim_109,radio_dim_110,radio_dim_111,radio_dim_112,radio_dim_113,radio_dim_114,radio_dim_115,radio_dim_116,radio_dim_117,radio_dim_118,radio_dim_119,radio_dim_120,radio_dim_121,radio_dim_122,radio_dim_123,radio_dim_124,radio_dim_125,radio_dim_126,radio_dim_127
LUNG1-001,-0.066791,-0.009830251,-0.00055960193,0.085948035,0.08371847,-0.07397481,-0.0029735416,-0.161826,0.011921434,0.15648973,0.13155164,0.034282044,-0.24923258,-0.07653814,-0.16753688,0.0745358,-0.08924156,-0.050154313,0.061273593,-0.076220915,-0.07383661,0.06983352,0.06843346,0.07927424,0.06500844,0.0742933,0.009249572,-0.1312041,-0.03251258,0.07408483,0.12822795,-0.16914243,0.066758506,0.06350682,-0.017788889,0.021282855,-0.047017943,-0.08840797,-0.017149646,0.01291584,-0.09290057,-0.059474513,-0.011736959,0.020367932,0.0017416179,-0.15090744,-0.023460966,0.15712625,-0.13471106,0.06998856,0.069558494,0.02438754,0.13015732,-0.10081748,-0.012185095,-0.034744196,0.1383232,0.025898188,0.0123414695,0.039462887,-0.07471631,0.010270176,-0.031050574,-0.10840435,0.049765572,-0.027383782,0.03474997,0.14648438,-0.11885306,0.14994442,-0.14879109,0.25888208,0.060606677,0.102698825,0.030963792,-0.053443063,0.049289916,-0.008686534,0.1533398,-0.010464661,0.0048554316,0.15864705,-0.013907775,0.02146006,0.1326657,-0.2131254,-0.011074584,-0.062418595,0.09994186,-0.29527137,0.21178344,0.043968458,0.10627881,-0.060769342,0.08614583,-0.17230874,0.020084042,-0.018673591,0.09369002,0.087227635,0.08285456,-0.02420291,-0.12106594,0.095338516,0.14331043,-0.08493808,0.08215934,-0.021240063,-0.19460393,0.138646,-0.1212004,-0.076538615,0.070022576,0.053849656,0.11337642,-0.07735762,-0.03517616,0.06389705,-0.023244034,0.14577533,0.022049956,0.03597699,-0.037593037,-0.1461873,-0.058639243,0.061100557,0.12575124,-0.06645177
LUNG1-002,0.0963685,0.03769062,-0.103976995,-0.015298724,0.10418112,-0.12052358,-0.082787,-0.1586278,0.03688415,0.07048381,0.045409992,-0.06258531,-0.13214119,-0.057992868,-0.17680313,0.0838431,0.052567698,-0.10661676,0.034659095,-0.18530872,-0.14806056,0.006496392,0.08565982,-0.022449825,0.04787551,0.09780976,-0.13373324,-0.0936571,-0.089027405,0.090199284,-0.008486862,-0.07044241,0.12142548,0.02663112,0.008358449,-0.04041601,-0.064213924,-0.012029935,0.01520443,0.012549861,-0.09295204,0.0640512,-0.0005551316,0.113867335,0.02561745,-0.02148382,-0.0143678505,0.16497397,-0.12771174,0.04328016,0.01593595,0.044431135,0.11603677,-0.111431316,-0.03408799,-0.0482329,0.15016088,0.007704705,0.013800491,0.13285416,-0.12291076,-0.008752257,-0.104204275,-0.14896816,0.053917743,-0.068373844,0.05342508,0.239036,-0.07255885,0.14790854,-0.113284215,0.22515517,0.107844636,0.13610813,0.15472502,0.0009050891,-0.027000673,-0.0055553457,0.06757405,0.099963725,0.0076689385,0.17219707,0.0438371,-0.002002418,0.07219745,-0.14283642,-0.12900864,-0.059527308,0.054997556,-0.2095634,0.09085729,0.08647195,0.090343356,-0.06833232,-0.026698407,-0.15026277,0.0179035,-0.0035003638,0.009876195,0.009194553,-0.026681086,-0.13425225,0.009835275,0.050297916,0.020085983,-0.124392636,0.034290895,0.011219401,-0.18968262,0.047954746,-0.03745039,-0.05068773,-0.051506765,0.14668389,0.05095482,-0.096954964,0.0068045817,0.088594474,0.050889336,0.03414853,0.014563799,-0.007617198,-0.1463807,-0.07765704,-0.038359746,-0.0074937716,0.089548215,-0.0674839
LUNG1-003,0.030824155,-0.03604763,-0.021035407,-0.12165212,0.12410684,-0.12820095,-0.06467698,-0.15472814,0.14512819,0.19830528,0.16466022,0.10454123,-0.18090506,0.034480903,-0.09016423,-0.03259668,-0.1657801,-0.125795,0.12068125,-0.08263777,-0.041142,0.16741237,0.19659808,0.03076254,-0.003481783,0.18910688,-0.2136731,-0.09610098,0.030049749,0.17580955,0.053956598,-0.05753208,0.056109708,0.18354964,0.07180627,-0.08326333,0.008421786,0.08699134,0.14783797,0.05586775,-0.21563472,0.079907246,0.013574582,0.07487011,0.059487335,-0.19043587,-0.047784742,0.16127765,-0.016138747,0.12493595,-0.0031193271,0.032647386,0.12279288,-0.12436354,-0.053483732,-0.015616544,0.21821344,-0.061254084,0.16140053,0.076682284,-0.15091553,-0.00040962175,-0.13397609,-0.06631682,0.0037734583,0.008865017,0.0032485425,0.08902347,-0.2784654,0.27369252,-0.062197436,0.20156933,0.1711476,0.17960733,0.10450935,-0.19579807,0.048122,0.017098865,-0.010345688,0.0014707856,-0.019126855,0.25138974,0.013694093,0.13137425,0.18201643,-0.17532566,0.03968413,-0.0742185,0.042676866,-0.24416953,0.02309025,0.12061984,-0.022720575,-0.025555156,0.0029136762,-0.08349906,0.038088523,-0.096546255,0.16817698,0.12536725,-0.114814125,-0.09551686,-0.04910914,-0.010962129,0.1078539,-0.0160866,-0.0075316504,-0.10610075,-0.12424822,0.16563638,0.092069976,-0.10093827,0.008449037,0.11302908,0.0019397102,-0.11168718,-0.1450014,0.1489436,0.12019809,0.061284263,0.1277341,0.059002817,-0.108072735,-0.08162329,-0.051048763,0.04263506,0.06619976,-0.018471792
LUNG1-004,-0.038438365,-0.048018612,0.0005508661,0.079004556,0.06600909,-0.067813784,0.012511313,-0.13695233,0.052303955,0.13226701,0.0703615,0.025725193,-0.15613633,0.009558681,-0.06132172,0.054424986,-0.09414851,-0.019291941,0.025805937,-0.077038154,-0.021630198,0.09484819,0.11457593,0.06360473,0.08432505,0.059829894,-0.026192863,-0.04678624,-0.06659461,0.07282468,0.065292716,-0.14304203,0.09578763,0.06041681,0.005833164,0.010277249,0.03286196,0.051992696,-0.03408345,0.037110813,-0.10299362,-0.028474059,-0.022351528,-0.0048166085,-0.08201115,-0.1157363,-0.048635125,0.12799263,-0.061233655,0.04950461,0.13157462,0.032192647,0.09829236,-0.09172167,-0.05288846,-0.02852469,0.074562445,-0.02647019,-0.033991277,0.078401044,-0.110578135,0.007937532,-0.021729967,-0.10604652,0.035847843,-0.013333581,-0.0016090162,0.07226913,-0.037643835,0.100836344,-0.13883783,0.15473413,-0.00028032437,0.012683002,0.07845233,-0.10661101,0.056972034,0.005934257,0.034298934,-0.030259406,0.031734552,0.06316891,-0.056603648,0.12162416,0.10443023,-0.08757321,-0.046637297,-0.02995548,0.09092015,-0.20365804,0.11425544,0.0029440783,0.099947765,-0.057766393,0.019045994,-0.07142327,0.03341892,0.009201692,0.05715297,0.08443024,0.048677,-0.09416706,-0.024682973,0.0769008,0.14818342,-0.053289115,0.12365402,-0.034987807,-0.081616856,0.17467564,-0.09406636,-0.12851833,0.025782747,0.09792945,0.071678475,-0.081900984,-0.098340325,0.014566489,0.033312667,0.08568002,0.06844783,0.027875543,-0.12763177,-0.09085138,-0.09331965,0.046152674,0.16061005,-0.038574874
LUNG1-005,0.05346358,0.06840165,-0.1496424,-0.043217108,0.15254572,-0.12580639,-0.1654062,-0.28297716,-0.023276158,0.24542534,-0.0010238253,0.049056426,-0.21907167,-0.05616595,-0.0607843,0.05102273,0.014939951,-0.08264699,-0.027809698,-0.19664918,-0.08969087,0.14639631,0.2539291,-0.016487092,-0.055654593,0.047727384,-0.20465674,-0.21254599,-0.07139769,0.13617474,-0.13805448,-0.08882995,0.16685063,0.14019048,-0.06871147,-0.11796535,-0.07490058,-0.0061793253,0.040220786,0.0022760518,-0.20421289,0.053101666,-0.084890895,0.018579498,0.026543647,-0.1902668,-0.0024696179,0.119502865,-0.028728008,0.08746412,0.03820933,0.038303934,0.12814707,-0.024836339,-0.007819708,0.027345754,0.15411538,-0.011981916,0.03667677,0.122637555,-0.21978176,0.030180737,-0.1426803,-0.09591339,0.015929602,0.012831373,0.008646626,0.24183941,-0.13098608,0.22521773,-0.08813783,0.25388432,0.12934856,0.09365201,0.13598256,-0.12256062,-0.1552306,-0.027434744,0.033019017,0.02674184,-0.035279416,0.14107214,0.044315994,0.052768476,0.138227,-0.12609738,-0.09633516,-0.0036012614,-0.033053502,-0.16485257,0.0302138,0.037991744,-0.039829828,-0.11834354,-0.12560667,-0.022315998,0.15082651,0.009284958,0.031553484,0.08680632,0.030845497,-0.16351071,-0.007976245,0.0055743083,0.13451687,-0.15610176,0.05620087,-0.05085709,-0.06319272,0.09612536,-0.15839143,-0.005817659,-0.0762852,0.19841844,0.009854799,-0.1270768,-0.037981525,0.031591274,0.057371695,-0.01792878,0.0678335,0.064459115,-0.011199996,-0.051823273,0.014378987,0.02874476,0.09548112,-0.15581688
LUNG1-006,0.048168957,0.04976035,-0.114434645,-0.03158404,0.11676271,-0.069591135,-0.15077057,-0.24634004,0.0019172803,0.23956245,0.02290692,0.026402965,-0.20563811,-0.091938965,-0.108955085,0.049920768,0.012914833,-0.09552124,0.022876766,-0.20954405,-0.052259162,0.09791661,0.19658655,-0.037131622,-0.017911583,0.049119126,-0.14549328,-0.16283107,-0.05480561,0.14061584,-0.10194985,-0.08744162,0.19287957,0.077999555,-0.07732211,-0.090397544,-0.052358363,-0.005784245,0.007331578,-0.018974729,-0.1778467,0.07341885,-0.045481667,0.054548822,0.027297955,-0.10345109,0.015933104,0.16675082,-0.0552254,0.09096546,0.008815903,0.023679273,0.14642957,-0.075576976,-0.022085276,0.018386215,0.13739966,0.016453229,0.001649972,0.14510097,-0.1874494,0.046319354,-0.13314193,-0.13348922,0.030673161,0.0147169,-0.025632337,0.21856838,-0.11207844,0.2025348,-0.031753134,0.2959892,0.09192133,0.119553395,0.13135059,-0.11876584,-0.079625085,-0.010603943,0.053269543,0.08877957,-0.001621671,0.1523251,0.030548848,0.080407515,0.10808583,-0.16246963,-0.048813652,0.04090075,0.0016126409,-0.20771311,0.035536744,0.054627553,0.009033598,-0.1371436,-0.124563515,-0.08870568,0.106700875,-0.01114433,0.061067533,0.068722166,0.043578744,-0.12716602,-0.028872281,0.039578527,0.103582434,-0.15815192,0.042291418,-0.02089084,-0.09142315,0.101796046,-0.12173099,-0.0048816986,-0.07193143,0.16762993,-0.037889246,-0.05598152,-0.066910505,0.038580667,0.014683974,-0.003670346,-0.004500821,0.045130946,-0.059728898,-0.10118021,-0.025962442,0.022489093,0.020295743,-0.1296697
LUNG1-007,-0.018289663,0.023300346,-0.044374365,-0.0012408122,0.033569865,0.005564537,0.0059353784,-0.15182817,0.039174087,0.06136523,0.073258266,-0.03900423,-0.12604223,0.003547635,-0.08638908,-0.0022849888,0.023829937,-0.06665118,0.06127922,-0.13225092,-0.083389565,0.06872568,0.12362207,-0.022373844,0.04131021,0.101545095,-0.11726236,0.015229862,-0.037897915,0.021111898,0.015779693,-0.033366174,0.04753439,0.09205903,-0.06422342,-0.051709145,-0.07065694,0.045158025,0.050668284,-0.010243755,-0.027375977,-0.0054249056,0.011090666,0.07030356,0.017706726,-0.005651327,0.009065634,0.101573035,-0.057743557,0.041559927,-0.013989553,0.0060793273,0.053172592,-0.048703555,-0.034657437,-0.06416914,0.09867066,-0.02918338,0.010168962,0.12043209,-0.048431233,-0.020075679,-0.15472765,-0.11276147,0.003548449,0.05445212,-0.0055338293,0.12611662,-0.087928765,0.12847137,-0.123949036,0.18884274,0.0067732856,0.056395724,0.11381818,-0.08315237,0.026207436,0.016234647,0.047192026,0.050713606,0.030993093,0.04120619,-0.08871192,0.06822869,0.07436842,-0.04208245,-0.08604827,-0.028632425,0.10503463,-0.09960039,0.10578291,-0.019413235,0.043388043,-0.14230162,0.023863131,-0.060825877,0.0048475377,-0.025003556,0.024188511,0.0829184,-0.017021678,-0.040159315,0.07267557,0.05941358,0.076361395,0.008859649,0.011967357,-0.082943335,-0.06300801,0.091692865,-0.10990697,-0.09082094,-0.014154777,0.12771685,-0.0046132095,-0.11132499,-0.049230248,0.06189073,0.059082553,0.097983226,0.030702293,-0.09117936,-0.022655465,-0.10276304,-0.066305876,0.023522332,0.0565137,-0.11835274
LUNG1-008,0.027461074,0.03315457,-0.12172866,-0.0064089894,0.114776686,-0.058555204,-0.13996342,-0.22610128,0.035936188,0.18094906,0.03492972,0.0012360662,-0.21356627,-0.0761651,-0.1338233,0.03715243,0.020268572,-0.094592065,0.0636506,-0.18267551,-0.052112386,0.09833878,0.1564296,-0.0038137976,0.01928559,0.0807865,-0.1549289,-0.13039806,-0.065265186,0.09375766,-0.06319111,-0.08590588,0.1830053,0.06298453,-0.09131163,-0.12503168,0.013693292,0.0130161485,-0.0016974732,-0.014397316,-0.11283639,0.07171595,-0.033598922,0.09605259,0.01740136,-0.09287777,0.056663092,0.19561738,-0.095862165,0.047697738,0.013471991,0.023266654,0.14884257,-0.04837136,-0.05083424,0.036402747,0.14886075,0.046856463,-0.023583218,0.1489276,-0.17179167,0.02433962,-0.12348555,-0.12873942,0.03561844,0.016091589,-0.01572249,0.20473653,-0.09597501,0.2263669,-0.039977066,0.3013319,0.07304394,0.123277836,0.1648694,-0.12401087,-0.047783785,-0.010499694,0.06108275,0.072450235,0.019665156,0.13852182,-0.03197174,0.07027889,0.10459933,-0.17066914,-0.019481156,0.038852133,0.0015313029,-0.17890806,0.06796695,0.049407743,0.017337449,-0.14124769,-0.07198713,-0.10055749,0.044524476,-0.02898678,0.035319585,0.09343068,-0.004406539,-0.085456684,-0.03346999,0.06424142,0.124284655,-0.13527912,0.044578757,-0.03963474,-0.09643832,0.12389566,-0.1331485,-0.014838938,-0.040709928,0.14390174,-0.07517677,-0.06485297,-0.05651537,-0.008832209,0.03586141,0.026728239,0.0505556,0.017690718,-0.022698667,-0.11789526,-0.027797952,0.015573159,0.024076585,-0.117465936
LUNG1-009,-0.019866196,0.034289446,-0.024232443,0.032304715,0.066057906,-0.08659686,0.04314039,-0.16186807,0.037395656,0.1389916,0.03203866,0.0019733906,-0.14846283,0.005627554,-0.054023392,0.008920712,-0.05625368,0.0007004123,0.06253737,-0.05373094,-0.031164892,0.0804873,0.09709866,0.08131351,0.11607462,0.053223517,-0.0060574915,-0.05186078,-0.046637475,0.07222221,0.011080677,-0.10124113,0.11321695,0.06884956,-0.052937288,0.013177227,0.047595765,0.05216346,-0.0013744235,-0.0027956404,-0.10436304,-0.047541674,-0.034718502,-0.03139894,-0.04427757,-0.09026035,-0.03333042,0.15274912,-0.080857374,0.13539493,0.052767497,0.03263457,0.1311712,-0.08667417,-0.06607355,-0.046032764,0.07857599,-0.023967277,-0.018776286,0.08820326,-0.06456046,-0.022779707,-0.008709073,-0.09831183,0.06698814,0.038766615,0.037625343,0.037043683,-0.051343534,0.091295734,-0.12735917,0.13495216,0.017849926,0.02173566,0.042521827,-0.12030136,0.07376167,0.041388787,0.021658638,-0.07456619,0.084222555,0.061976388,-0.055886254,0.108430326,0.06843197,-0.11913191,-0.043706253,-0.043395743,0.0700192,-0.15772006,0.102702886,-0.0065177334,0.12029229,-0.08097684,0.022675768,-0.08350554,0.003983086,-0.012308864,0.047783915,0.11291434,0.002311939,-0.08456053,-0.015658941,0.09308744,0.15084991,-0.047755525,0.091742,-0.02573942,-0.14710934,0.12539588,-0.12325867,-0.089911446,0.05049955,0.17257597,0.0062678177,-0.068991184,-0.08529335,0.030150063,0.027826123,0.047949106,0.051033195,0.023786508,-0.08126259,-0.009981834,-0.066871226,0.038589228,0.10889152,-0.08934663
LUNG1-010,-0.011985678,0.039483882,-0.10202739,0.019429043,0.08518822,-0.0583873,-0.046706103,-0.17772247,-0.02550761,0.15887454,0.08087399,-0.013767026,-0.097957484,0.0042534284,-0.110904574,0.046287395,0.063054256,-0.05628641,0.045087513,-0.14018896,-0.11998442,0.0112184435,0.10530087,-0.013009485,0.041448995,0.07854595,-0.11638896,-0.06872121,-0.082133874,0.04625628,-0.046283957,-0.0716676,0.08848641,0.07046285,-0.10492404,-0.06286888,-0.029947747,-0.021358754,0.059954174,-0.02851339,-0.06669455,-0.0043937676,-0.00883222,0.08297056,-0.03726022,-0.012823316,0.009746177,0.14855629,-0.09708632,0.081008054,0.004278086,0.002342891,0.1270976,-0.08993131,-0.06677496,-0.06792503,0.12985304,-0.025999647,-0.024625458,0.11048176,-0.09208107,-0.032307185,-0.13698061,-0.15957698,0.0021875622,0.0033946652,-0.019852623,0.20364752,-0.09790888,0.16896662,-0.10215765,0.24174723,0.031134512,0.072393835,0.09266639,-0.045988295,-0.03014652,0.028552951,0.021958617,0.107436925,0.04296436,0.1441324,-0.030798208,0.067337416,0.050368603,-0.0887222,-0.103183664,-0.028350418,0.054326527,-0.13440171,0.06795639,0.0025053434,0.07703068,-0.109724194,0.0019991454,-0.13735342,0.04248297,-0.031374443,0.021223282,0.09227915,-0.02093266,-0.049917158,-0.0050684214,0.03147173,0.05509685,-0.04602748,0.043774895,-0.031115605,-0.088416584,0.061228514,-0.14889316,-0.054136656,-0.032041453,0.12791437,-0.024647485,-0.1307921,-0.051480427,0.035857517,0.037594803,0.07562843,0.0365469,-0.07507609,-0.07577115,-0.09087769,-0.050215717,0.01065686,0.03579099,-0.16582578
